title,description
Online at H&M,Extra 10% Student Discount
Online at Nike,Up to 40% Student Discount
Online at Princess Polly,15% Student Discount
Online at Crocs,25% Student Discount
Online at SHEIN,15% Student Discount
Online at e.l.f. Cosmetics,20% Student Discount
Online at Foot Locker,20% Student Discount
Online at White Fox Boutique,10% Student Discount
Online at Gymshark,10% Student Discount Sitewide
Online at Marc Jacobs,10% Student Discount
Online at Princess Polly,30-80% off Sale + Extra 10% for Students
Online at lululemon,Up to 50% Off
Online at PrettyLittleThing,Up to 80% off + Extra 12% Student Discount
Online at Abercrombie & Fitch,$10 Off
Online at Spirit Saver$ Club,20% Student Discount
Online at Aerie,10% Student Discount
Online at American Eagle,10% Student Discount
Online at DoorDash,25% Off
Online at Gymshark,Extra 20% Off Outlet
Online at Lulus,10% Student Discount
Online at Oner Active,10% Student Discount
title,description
3472,10% Off
title,description
1-800 CONTACTS,10% Off
1-800-Flowers,20% Off
1Password,25% Off First Year Subscription
A Cloud Guru,47% Off Personal Plus Annual Plan
Aaptiv,50% Off
Adam & Eve,50% Off
adidas,15% Off
Adobe Creative Cloud,60% Off Adobe Creative Cloud
Aerie,Extra 20% Off
Aéropostale,Extra 15% Off
Afends,15% Off
AliExpress,$5 Off Orders $20+
AliExpress,$8 Off Orders $40+
AliExpress,$12 Off Orders $80+
Allbright,25% Off AllBright+ annual membership
Amazon,6 Months Prime & Prime Video - No cost for you
Amazon,Kindle Unlimited: 30 Day Free Trial
Amazon,Audible: 3 months FREE
Amazon Music Unlimited,Amazon Music Unlimited: 30 Day Free Trial
American Crew,20% Off
American Eagle Outfitters,20% Off
Apple,Education pricing on AppleCare+ for Mac
Apple,Get Apple Music
Apple,Education pricing on AppleCare+ for iPad
Apple,Save on Mac
Apple,Save on iPad
Apple Music,Only $5.99/month & free access to TV+
ASOS,10% Off
ASOS,New Customers: 20% Off
ASOS,Up to 50% Off 
ASOS,10% Off
Aspiration,Climate Friendly Debit Card
AT&T,$250 AT&T Visa Reward Card
Avid,10% Off
Avid,10% Off Pro Tools
Avid,10% Off Media Composer
B&H Photo-Video-Pro Audio,Up to 50% Off
B&H Photo-Video-Pro Audio,Save Big on Apple Products
B&H Photo-Video-Pro Audio,Exclusive Sony Specials
Babbel,65% Off 3 Months 
barre3 Online,20% Off + 14-day FREE trial
Bearable,7-day Free Trial + 77% Off Premium
Beauty Bay,20% Off $50
Beginning Boutique,15% Off
BetterHelp,50% Off Your First Month
beyerdynamic,10% Off
BJ's,$30 Off BJ's Club Card Membership
BlendJet,20% Off 
Blue Nile,10% Off
Bo+Tee,15% Off
Bold.org,"$25,000 Be Bold No-Essay Scholarship"
boohoo,45% Off
boohooMAN,60% Off Sitewide
Booking.com,Up to 15% Off
Branded Surveys,Take Surveys. Get Paid
BSTN, 20% on BSTN private+home label
BSTN,10% Off
BSTN,15% Off sneakers
BSTN,20% Off on BSTN WOMEN private+home label
BSTN,20% Off on BSTN MEN private+home label
Camper,15% Student Discount
Casetify,15% Off
Cernucci,Extra 10% Off
Champs,20% Off
Charles Tyrwhitt,20% Off + Free Shipping
Charlotte Tilbury,15% Off
Chegg,free DoorDash delivery
Chess.com,50% Off Chess.com Premium
Chilly's,10% Off
City Beach,20% Off
Clinique,15% Off
Club L London,15% Off
ColourPop,BOGO All Lip Singles
ColourPop,15% Off
Contacts Direct,20% Off
Contiki,10% Off
CORSAIR,15% Off Memory
CORSAIR,15% Off Mice
CORSAIR,15% Off Keyboards
CORSAIR,15% Off Headsets
CORSAIR,15% Off
Costa Del Mar,Up to 50% Off Sitewide
Costa Del Mar,15% Off
Costco,New Executive Members receive a $40 Digital Costco Shop Card*
Costco,New Gold Star Members receive a $20 Digital Costco Shop Card*
Cotton On,15% Off
Cotton On Body,15% Off
CurrentBody,10% Off CurrentBody Skin range
CurrentBody,10% Off
DataCamp,38% Off Monthly Discount
DataCamp,67%  Off annual plan
Db,15% Off
Deezer,1 month free
Dell,Up to $400 Off PCs
Dermstore,15% Off
Disney+,Give the Gift of Disney+
Disney+,15% Off
Dockers,20% Off
Dr. Martens,Extra 15% Off Sitewide
Dropbox,30% Off Dropbox Plus
Elemis,20% Off
Em & Friends,10% Off
END.,10% Off
Equoo,Build your Mental health resilience with 50% Off
Esther & Co,20% Off
Evernote,40% Off Evernote Professional
EveryPlate,75% on your First Box + First Box Ships Free
exante,Extra 10% Off Sitewide
Expedia,25% Off or more + Extra 8% Off hotels
FARFETCH,10% Off Menswear
FARFETCH,10% Off + Free Standard Shipping*
FARFETCH,Up to 50% Off
FARFETCH,Free Express Shipping
Feelunique,25% Off
Fenty Beauty + Skin,15% Off
FIIT,Free trial + 50% Off
Finish Line,Up to 50% Off Select Styles
Flair Airlines,20% Off
FlixBus,21% Off FlixBus App
Foot Locker,20% Off
Footasylum,10% Off
Forever 21,Extra 21% Off
Foster Grant,30% Off
frank body,15% Off
Freedom,40% Off Annual Membership
Ganni,15% Off 
GAP,Up to 40% Off
Garmin,20% Off
Gauthmath,25% Off
Genius Pack,10% Off
getAbstract,40% Off
GetSmarter,15% Off premium short courses
ghd,Additional 5% Off
Gilly Hicks,Extra 10% Off
Glasses.com,50% Off
GlassesUSA,40% Off designer frames
GlassesUSA,30% Off Contact Lenses
GlassesUSA,65% Off Frames + Free shipping
GlassesUSA,55% Off frames + Free shipping
Glean,20% Off Annual plan
Glossybox,20% Off
Go City,5% Off
Gobi Heat,15% Off
GoPro,15% Off HERO12 Black
GoPro,15% Off HERO12 Black Bundle
GOT BAG,17% Off
GOT BAG,17% Off Bags & Backpacks
GRADLiFE Career,Free access to GRADLiFE Careers
Grammarly,Free Online Writing Assistant
Grammarly,20% Off Grammarly Premium
Grow Gorgeous,25% Off
G-Star RAW,20% Off
Hairburst,20% Off 
Harvey Nichols,10% Off 
Hawes & Curtis,15% Off
Headspace,Free Trial
Helix Sleep,15% Off
Hello Molly,10% Off
HelloFresh,55% on your First Box
Helly Hansen,10% Off
Herschel Supply,10% Off
Hollister,Extra 10% Off
Hollister,Extra 10% Discount
Horace,20% Off
Hostel World,8% Off
Hotels.com,Up to 40% Off + Extra 8% Off Hotels
HP,Up to 62% Off Gaming Products
HP,Up to 65% Off Select Products
HP,BOGO Free HP Campus Backpacks
Huel,10% Off Huel all Year
Hulu,$1.99/month
Hulu,Grads! Get a 30-day Free Trial
Hulu,Hulu + Live TV 7-day Free Trial 
Hunkemöller,10% Off
Hunkemöller,Extra 15% Off
I Want One Of Those,12% Off
IdealFit,Extra 23% Off
Illamasqua,20% Off
InboxDollars,Get Paid To Play Games
InsideOut,35% Off
Ipsos iSay,Give feedback. Get rewards
J.Crew Factory,15% Off
Jabra,10% Off
JBL,Up to $50 Off
Journeys,$10 Off orders over $75
Juntame,20% Off
Kaspersky Lab,Extra 15% Off
kate spade new york,15% Off
kate spade new york,Up to 75% Off + Extra 10% Off
Kenneth Cole,20% Off
Kickresume,Free upgrade
Knowt,1 month free trial + 15% Off Subscriptions
Kobo Rakuten,30% Off select titles
Koolaburra,Extra 10% Off
LAMODA,Get 15% Off Sitewide
Laura Mercier,15% Off
Laura Mercier,30% Off Sale Items
Laura Mercier,2 free samples + free shipping
Lee Jeans,Jeans & Pants From $39.90 + Extra 20%
Lee Jeans,Extra 10% Off
LensCrafters,$99 Off
LensCrafters,20% Off on a complete pair
Levi's®,30-40% Off Sitewide + Extra 15% Off
LG,10% Off
Lingoda,20% Off on Monthly Subscription first month
Lingoda,$20 Off on the sign-up deposit
Lingopie,7 days Free + Up to 75% Off Plans
Linguix,50% Off PRO Plan
Logitech,Save with 25% Off
Logitech G,Save with 25% Off
Logitech G,15% Off Wheels and Pedals
Logitech G,25% Off Astro Gaming Series
LOOKFANTASTIC,20% Off
Lounge,Up to 70% Off Outlet
Lounge,15% Off
Lounge, 3 for $40 + Extra 15% Off
